RX Date/Time,(Mission Status) Flight state [-],(Mission Status) Runtime [ms],(Mission Status) Soft enabled [-],(Mission Status) Armed [-],(Mission Status) BW connected [-],(Mission Status) Camera enabled [-],(RF status) Packet count,(RF status) RSSI [dB],(RF status) CRC error [-],(RF status) Packet delay [ms],(RF status) Selected antenna [-],(Sensor Readings) Temperature [°C],(Sensor Readings) Altitude [m],(Sensor Readings) Pressure [KPa],(Sensor Readings) Battery voltage [V],(Sensor Readings) External Temperature [°C],(GPS) GPS Time,(GPS) Longitude [°N],(GPS) Latitude [°E],(GPS) Altitude [m],(GPS) No. Sats,(Accelerometer) X [m/s^2],(Accelerometer) Y [m/s^2],(Accelerometer) Z [m/s^2],(Gyroscope) X [rad/s],(Gyroscope) Y [rad/s],(Gyroscope) Z [rad/s],(Orientation) w [-],(Orientation) x [-],(Orientation) y [-],(Orientation) z [-]
2021/05/28/ 09:25:50::259,1,64,0,1,0,0,1,-100,0,646356,2,20,0,101.980003,8.2,20,64,5.922696,52.394821,0,0,0.449851,9.887143,0.794417,0.018326,-0.010996,0.067195,0,-0.010996,0.018326,0.794417
2021/05/28/ 09:25:50::299,1,89,0,1,0,0,2,-100,0,25,2,20,0,101.980003,8.22,20,89,5.922696,52.394821,0,0,-0.392423,9.848858,0.37328,0.057421,-0.045204,0.054978,0,-0.045204,0.057421,0.37328
2021/05/28/ 09:25:50::299,1,114,0,1,0,0,3,-101,0,25,2,20,0,101.980003,8.21,20,114,5.922696,52.394821,0,0,0.870987,9.446864,-0.133998,0.069639,-0.039095,0.023213,0,-0.039095,0.069639,-0.133998
2021/05/28/ 09:25:50::325,1,139,0,1,0,0,4,-101,0,25,2,20,0,101.978996,8.22,20,139,5.922696,52.394821,0,0,0.229711,8.537591,1.18684,0.072082,-0.067195,0,0,-0.067195,0.072082,1.18684
2021/05/28/ 09:25:50::538,1,164,0,1,0,0,5,-102,0,25,2,20,0,101.980003,8.22,20,164,5.922696,52.394821,0,0,0.133998,9.695718,0.526421,0.065973,-0.087965,-0.014661,0,-0.087965,0.065973,0.526421
2021/05/28/ 09:25:50::538,1,189,0,1,0,0,6,-103,0,25,2,20,0,101.978996,8.22,20,189,5.922696,52.394821,0,0,0.555135,11.351551,3.369094,0.065973,-0.052534,-0.029322,0,-0.052534,0.065973,3.369094
2021/05/28/ 09:25:50::538,1,214,0,1,0,0,7,-103,0,25,2,20,0,101.978996,8.21,20,214,5.922696,52.394821,0,0,0.009571,10.08814,-0.153141,0.043982,-0.036652,-0.039095,0,-0.036652,0.043982,-0.153141
2021/05/28/ 09:25:50::538,1,239,0,1,0,0,8,-104,1,25,2,20.5,6.375,101.981003,8.23,20.5,239,5.922696,52.394821,6.375,0,0.440279,11.428121,1.761117,0.040317,30.006922,-0.048869,0,30.006922,0.040317,1.761117
2021/05/28/ 09:25:50::539,1,269,0,1,0,0,9,-104,1,25,2,20,0,77.403,7.9,20,269,5.922696,52.394821,0,0,1.205983,87.816589,-0.803988,0.273668,-0.032987,-0.041539,0,-0.032987,0.273668,-0.803988
2021/05/28/ 09:25:50::539,1,289,0,1,0,0,10,-104,0,25,2,20.25,0,101.981003,8.22,20.25,289,5.922696,52.394821,0,0,0.038285,9.552148,-2.096113,0.041539,-0.041539,-0.039095,0,-0.041539,0.041539,-2.096113
2021/05/28/ 09:25:50::539,1,314,0,1,0,0,11,-104,0,25,2,20.25,0,101.980003,8.23,20.25,314,5.922696,52.394821,0,0,0.334995,9.590433,-0.200997,0.051313,-0.025656,-0.020769,0,-0.025656,0.051313,-0.200997
2021/05/28/ 09:25:50::539,1,339,0,1,0,0,12,-104,1,25,2,20.25,0,102.058998,8.2,20.25,339,5.922696,52.394821,0,0,0.181855,10.068997,3.349952,0.026878,-0.020769,-0.002443,0,-0.020769,0.026878,3.349952
2021/05/28/ 09:25:50::840,1,364,0,1,0,0,13,-104,1,25,2,20.25,0,101.980003,8.22,20.25,364,5.922696,52.394821,0,0,-0.622134,15.247066,1.378266,0.006109,16.257568,-16.253902,0,16.257568,0.006109,1.378266
2021/05/28/ 09:25:50::840,1,389,0,1,0,0,14,-105,0,25,2,20.25,0,101.980003,8.23,20.25,389,5.922696,52.394821,0,0,0.937986,10.193424,3.158526,0.004887,-0.034208,0.013439,0,-0.034208,0.004887,3.158526
2021/05/28/ 09:25:50::840,1,414,0,1,0,0,15,-105,1,25,2,20.25,0,101.980003,8.22,20.25,414,5.922696,52.394821,0,0,252.232224,9.102298,-3.589234,0.001222,-0.042761,0.017104,0,-0.042761,0.001222,-3.589234
2021/05/28/ 09:25:50::841,1,439,0,1,0,0,16,-105,1,25,2,13.75,0.375,94.396004,8.22,13.75,439,5.922696,52.394821,0.375,0,-0.114855,9.159725,-3.445665,0.018326,-0.054978,0.024435,0,-0.054978,0.018326,-3.445665
2021/05/28/ 09:25:50::841,1,464,0,1,0,0,17,-104,1,25,2,20.25,508.25,52.848,8.22,20.25,464,5.922696,52.394821,508.25,0,118.320297,135.740036,247.092438,32.038662,16.842777,-35.634212,0,16.842777,32.038662,247.092438
2021/05/28/ 09:25:50::841,1,614,0,1,0,0,20,-106,1,25,2,5.25,120.25,68.217003,8.22,5.25,614,5.922696,52.394821,120.25,0,235.051758,236.822449,10.269995,0.015882,-0.03543,-0.019548,0,-0.03543,0.015882,10.269995
2021/05/28/ 09:25:50::841,1,639,0,1,0,0,21,-105,1,25,2,21.75,6.375,94.396004,8.24,21.75,639,5.922696,52.394821,6.375,0,-0.756132,10.346565,1.751546,0.025656,0.001222,-0.020769,0,0.001222,0.025656,1.751546
2021/05/28/ 09:25:51::162,1,664,0,1,0,0,22,-104,1,25,2,20.25,1345,102.892998,8.21,20.25,664,5.922696,52.394821,1345,0,233.55864,-198.479858,3.34038,0.018326,-17.261829,-0.025656,0,-17.261829,0.018326,3.34038
2021/05/28/ 09:25:51::163,1,714,0,1,0,0,23,-106,1,49,2,53.75,2030.375,111.699997,8.2,53.75,714,5.922696,52.394821,2030.375,0,0.698704,9.580862,-9.006584,15.017511,-23.376591,39.8895,0,-23.376591,15.017511,-9.006584
2021/05/28/ 09:25:51::163,1,739,0,1,0,0,24,-105,1,25,2,20.25,0,102.059998,8.23,20.25,739,5.922696,52.394821,0,0,1.282553,9.312865,-2.316252,-0.010996,-0.050091,-0.029322,0,-0.050091,-0.010996,-2.316252
2021/05/28/ 09:25:51::163,1,12751,0,1,0,0,25,-106,1,25,2,20.25,0,101.980003,10.14,20.25,12751,5.922696,52.394821,0,0,-0.411565,9.925428,2.517249,-0.029322,0.001222,-0.001222,0,0.001222,-0.029322,2.517249
2021/05/28/ 09:25:51::163,1,881,0,1,0,0,26,-104,1,117,2,20.25,0,101.980003,8.18,20.25,881,5.922696,52.394821,0,0,0.459422,9.667004,-2.603391,0.006109,0.189368,-2.99324,0,0.189368,0.006109,-2.603391
2021/05/28/ 09:25:51::163,1,906,0,1,0,0,27,-105,0,25,2,20.25,0,101.980003,8.21,20.25,906,5.922696,52.394821,0,0,0.038285,10.413564,1.397408,-0.015882,0.021991,-0.025656,0,0.021991,-0.015882,1.397408
2021/05/28/ 09:25:51::163,1,931,0,1,0,0,28,-104,1,25,2,20.25,0,101.980003,8.24,20.25,931,5.922696,52.394821,0,0,0.89013,9.896714,2.909672,-0.047647,-30.155973,-31.984903,0,-30.155973,-0.047647,2.909672
2021/05/28/ 09:25:51::163,1,956,0,1,0,0,29,-101,1,25,2,20.25,0,101.980003,8.2,20.25,956,5.922696,52.394821,0,0,-0.392423,10.202995,-192.91893,-0.568105,-15.994896,-0.973719,0,-15.994896,-0.568105,-192.91893
2021/05/28/ 09:25:51::164,1,981,0,1,0,0,30,-104,1,25,2,20.25,0,101.980003,8.22,20.25,981,5.922696,52.394821,0,0,0.698704,249.236404,-3.751946,-0.080634,0.030543,-0.067195,0,0.030543,-0.080634,-3.751946
2021/05/28/ 09:25:51::327,1,1006,0,1,0,0,31,-104,0,25,2,20.25,0,101.980003,8.2,20.25,1006,5.922696,52.394821,0,0,1.550549,9.226724,-3.369094,-0.069639,0.036652,-0.084299,0,0.036652,-0.069639,-3.369094
2021/05/28/ 09:25:51::327,1,1031,0,1,0,0,32,-103,0,25,2,20.25,0,101.980003,8.23,20.25,1031,5.922696,52.394821,0,0,-0.086142,9.561719,-3.206382,-0.047647,0.013439,-0.09163,0,0.013439,-0.047647,-3.206382
2021/05/28/ 09:25:51::327,1,1056,0,1,0,0,33,-100,0,25,2,20.25,0,101.980003,8.22,20.25,1056,5.922696,52.394821,0,0,0.880559,10.681561,4.173083,-0.036652,0.002443,-0.085521,0,0.002443,-0.036652,4.173083
2021/05/28/ 09:25:51::327,1,1081,0,1,0,0,34,-103,1,25,2,20.5,0,101.211998,8.2,20.5,1081,5.922696,52.394821,0,0,0.899701,10.193424,2.163112,-0.114843,0.054978,-0.092852,0,0.054978,-0.114843,2.163112
2021/05/28/ 09:25:51::327,1,1106,0,1,0,0,35,-104,0,25,2,20.25,0,101.980003,8.23,20.25,1106,5.922696,52.394821,0,0,1.646262,9.131011,-2.210968,-0.008552,-0.008552,-0.087965,0,-0.008552,-0.008552,-2.210968
2021/05/28/ 09:25:51::327,1,1131,0,1,0,0,36,-104,0,25,2,20.25,0,101.980003,8.22,20.25,1131,5.922696,52.394821,0,0,1.138984,8.939586,-1.062413,0.006109,0.062308,-0.087965,0,0.062308,0.006109,-1.062413
2021/05/28/ 09:25:51::480,1,1156,0,1,0,0,37,-104,0,25,2,20.25,0,101.980003,8.2,20.25,1156,5.922696,52.394821,0,0,1.751546,10.049855,-0.641276,-0.117286,0.042761,-0.074526,0,0.042761,-0.117286,-0.641276
2021/05/28/ 09:25:51::480,1,1181,0,1,0,0,38,-105,0,25,2,20.25,0,101.980003,8.23,20.25,1181,5.922696,52.394821,0,0,0.105284,9.973285,2.507678,-0.019548,-0.0562,-0.061087,0,-0.0562,-0.019548,2.507678
2021/05/28/ 09:25:51::480,1,1206,0,1,0,0,39,-105,1,25,2,20.25,0,101.980003,8.2,20.25,1206,5.922696,52.394821,0,0,0.995414,10.107283,1.70369,-0.019548,0.062308,-0.042761,0,0.062308,-0.019548,1.70369
2021/05/28/ 09:25:51::480,1,1231,0,1,0,0,40,-105,0,25,2,20.25,0,101.980003,8.21,20.25,1231,5.922696,52.394821,0,0,-0.708275,10.231709,1.502693,-0.061087,0.004887,-0.036652,0,0.004887,-0.061087,1.502693
2021/05/28/ 09:25:51::480,1,1256,0,1,0,0,41,-106,1,25,2,20.25,0,101.980003,8.22,20.25,1256,5.922696,52.394821,0,0,0.277567,10.413564,2.172683,-0.008552,-0.084299,-0.026878,0,-0.084299,-0.008552,2.172683
2021/05/28/ 09:25:51::553,1,1306,0,1,0,0,42,-105,1,51,2,20.25,0,101.980003,8.21,20.25,1306,5.922696,52.394821,0,0,-0.976272,9.150154,293.800323,37.316536,0.034208,0.042761,0,0.034208,37.316536,293.800323
2021/05/28/ 09:25:51::553,1,1331,0,1,0,0,43,-105,0,25,2,20.25,0,101.980003,8.22,20.25,1331,5.922696,52.394821,0,0,-0.392423,9.877572,0.114855,-0.002443,0,0.078191,0,0,-0.002443,0.114855
2021/05/28/ 09:25:51::554,1,1356,0,1,0,0,44,-104,0,25,2,20.25,0,101.980003,8.22,20.25,1356,5.922696,52.394821,0,0,0.440279,8.997013,1.311267,-0.041539,0.019548,0.068417,0,0.019548,-0.041539,1.311267
2021/05/28/ 09:25:51::616,1,1381,0,1,0,0,45,-104,0,25,2,20.25,0,101.980003,8.21,20.25,1381,5.922696,52.394821,0,0,0.861416,8.403593,-2.603391,-0.096517,-0.030543,0.013439,0,-0.030543,-0.096517,-2.603391
2021/05/28/ 09:25:51::616,1,1406,0,1,0,0,46,-104,1,25,2,20.25,0,101.980003,8.21,20.25,1406,5.922696,52.394821,0,0,0.459422,8.642876,-118.396866,-0.025656,-0.050091,-0.031765,0,-0.050091,-0.025656,-118.396866
2021/05/28/ 09:25:51::616,1,1431,0,1,0,0,47,-104,0,25,2,20.25,0,101.981003,8.22,20.25,1431,5.922696,52.394821,0,0,0.59342,9.619147,-1.70369,-0.050091,-0.00733,-0.050091,0,-0.00733,-0.050091,-1.70369
2021/05/28/ 09:25:51::699,1,1456,0,1,0,0,48,-105,0,25,2,20.25,0,101.980003,8.23,20.25,1456,5.922696,52.394821,0,0,-0.459422,10.509277,0.689133,-0.117286,-0.090408,-0.07086,0,-0.090408,-0.117286,0.689133
2021/05/28/ 09:25:51::700,1,937,0,1,0,0,49,-101,1,25,2,20.25,0,101.980003,8.2,20.25,937,5.922696,52.394821,0,0,-0.583849,10.030712,-0.985843,0.059865,-0.150273,-0.067195,0,-0.150273,0.059865,-0.985843
